"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libxslt","1.1.34","MIT","COPYING","libxslt-1.1.34.tar.gz","http://xmlsoft.org/sources","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"linux","custom","GPL-2.0","","linux-custom.tar.gz","/home/wxt/test/rk3588/buildroot/../kernel","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"numactl","2.0.14","LGPL-2.1 (libnuma), GPL-2.0 (programs)","README.md","numactl-2.0.14.tar.gz","https://github.com/numactl/numactl/archive/v2.0.14","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"lmbench","3.0-a9","lmbench license (based on GPL-2.0)","COPYING COPYING-2","lmbench-3.0-a9.tgz","http://downloads.sourceforge.net/project/lmbench/development/lmbench-3.0-a9","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libtirpc [BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"lockfile-progs","0.1.19","GPL-2.0","COPYING","lockfile-progs_0.1.19.tar.gz","http://snapshot.debian.org/archive/debian/20210903T205304Z/pool/main/l/lockfile-progs","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] liblockfile [LGPL-2.0+, GPL-2.0+ (dotlockfile)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"lrzsz","0.12.20","GPL-2.0+","COPYING","lrzsz-0.12.20.tar.gz","http://www.ohse.de/uwe/releases","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"make","4.2.1","GPL-3.0+","COPYING","make-4.2.1.tar.bz2","http://ftpmirror.gnu.org/make","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"memtester","4.5.0","GPL-2.0","COPYING","memtester-4.5.0.tar.gz","http://pyropus.ca/software/memtester/old-versions","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"ntfs-3g","2022.5.17","GPL-2.0+, LGPL-2.0+","COPYING COPYING.LIB","ntfs-3g_ntfsprogs-2022.5.17.tgz","http://tuxera.com/opensource","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libfuse [GPL-2.0, LGPL-2.1] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"pango","1.48.10","LGPL-2.0+","COPYING","pango-1.48.10.tar.xz","http://ftp.gnome.org/pub/GNOME/sources/pango/1.48","cairo [LGPL-2.1 or MPL-1.1 (library)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] fontconfig [fontconfig license] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] harfbuzz [MIT, ISC (ucdn library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libfribidi [LGPL-2.1+] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] pixman [MIT] rockchip-mali [ARM] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT]"
"perl","5.32.1","Artistic or GPL-1.0+","Artistic Copying README","perl-5.32.1.tar.xz","https://www.cpan.org/src/5.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"pm-utils","1.4.1","GPL-2.0+","COPYING","pm-utils-1.4.1.tar.gz","http://pm-utils.freedesktop.org/releases","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"procrank_linux","21c30ab4514a5b15ac6e813e21bee0d3d714cb08","Apache-2.0","NOTICE","procrank_linux-21c30ab4514a5b15ac6e813e21bee0d3d714cb08.tar.gz","https://github.com/csimmonds/procrank_linux/archive/21c30ab4514a5b15ac6e813e21bee0d3d714cb08","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"camera-engine-rkaiq","1.0","Apache-2.0","NOTICE","camera-engine-rkaiq-1.0.tar.gz","/home/wxt/test/rk3588/buildroot/../external/camera_engine_rkaiq","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] rockchip-rga [Apache-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"gstreamer1-rockchip","master","LGPL-2.1","COPYING","gstreamer1-rockchip-master.tar.gz","/home/wxt/test/rk3588/buildroot/../external/gstreamer-rockchip","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] gst1-plugins-base [LGPL-2.1+] gstreamer1 [LGPL-2.1+] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libtheora [BSD-3-Clause] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] rockchip-mpp [Apache-2.0, MIT] rockchip-rga [Apache-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"rockchip-mpp","develop","Apache-2.0, MIT","LICENSES/Apache-2.0 LICENSES/MIT","rockchip-mpp-develop.tar.gz","/home/wxt/test/rk3588/buildroot/../external/mpp","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libv4l-rkmpp","fe977181a5ab53bb350706cdc259ba6ccd4528da","LGPL-2.1","COPYING","libv4l-rkmpp-fe977181a5ab53bb350706cdc259ba6ccd4528da-br1.tar.gz","https://github.com/JeffyCN/libv4l-rkmpp.git","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libv4l [GPL-2.0+ (utilities), LGPL-2.1+ (libraries)] libzlib [Zlib] linux-headers [GPL-2.0] rockchip-mpp [Apache-2.0, MIT] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"rknpu2","1.0.0","ROCKCHIP","LICENSE","rknpu2-1.0.0.tar.gz","/home/wxt/test/rk3588/buildroot/../external/rknpu2","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rktoolkit","master","Apache-2.0","LICENSE","rktoolkit-master.tar.gz","/home/wxt/test/rk3588/buildroot/../external/rktoolkit","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rkwifibt","1.0.0","ROCKCHIP","LICENSE","rkwifibt-1.0.0.tar.gz","/home/wxt/test/rk3588/buildroot/../external/rkwifibt","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rockchip-alsa-config","1.0","Apache-2.0","NOTICE","rockchip-alsa-config-1.0.tar.gz","/home/wxt/test/rk3588/buildroot/../external/alsa-config","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rockchip-test","master","ROCKCHIP","LICENSE","rockchip-test-master.tar.gz","/home/wxt/test/rk3588/buildroot/../external/rockchip-test","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"rt-tests","2.2","GPL-2.0+","COPYING","rt-tests-2.2.tar.xz","https://cdn.kernel.org/pub/linux/utils/rt-tests","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] numactl [LGPL-2.1 (libnuma), GPL-2.0 (programs)] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"seatd","0.6.3","MIT","LICENSE","0.6.3.tar.gz","https://git.sr.ht/~kennylevinsen/seatd/archive","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"sox","7524160b29a476f7e87bc14fddf12d349f9a3c5e","GPL-2.0+ (sox binary), LGPL-2.1+ (libraries)","LICENSE.GPL LICENSE.LGPL","sox-7524160b29a476f7e87bc14fddf12d349f9a3c5e-br1.tar.gz","git://git.code.sf.net/p/sox/code","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libmad [GPL-2.0+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre [BSD-3-Clause] pulseaudio [LGPL-2.1+ (specific license for modules, see LICENSE file)] readline [GPL-3.0+] sbc [GPL-2.0+ (programs), LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] speex [BSD-3-Clause] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"strace","5.14","LGPL-2.1+","COPYING LGPL-2.1-or-later","strace-5.14.tar.xz","https://strace.io/files/5.14","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"stress-ng","0.13.01","GPL-2.0+","COPYING","stress-ng-0.13.01.tar.gz","https://github.com/ColinIanKing/stress-ng/archive/V0.13.01","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libbsd [BSD-2-Clause, BSD-3-Clause, BSD-4-Clause, BSD-5-Clause, MIT, ISC, Beerware] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"stress","1.0.4","GPL-2.0+","COPYING","stress-1.0.4.tar.gz","http://people.seas.harvard.edu/~apw/stress","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"stressapptest","6714c57d0d67f5a2a7a9987791af6729289bf64e","Apache-2.0","NOTICE","stressapptest-6714c57d0d67f5a2a7a9987791af6729289bf64e-br1.tar.gz","https://github.com/stressapptest/stressapptest.git","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"unixbench","e477bc034137f994f2bbaba52952ca6e1de53856","GPL-2.0+","LICENSE.txt","unixbench-e477bc034137f994f2bbaba52952ca6e1de53856-br1.tar.gz","https://github.com/kdlucas/byte-unixbench.git","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] perl [Artistic or GPL-1.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"usbmount","0.0.22","BSD-2-Clause","debian/copyright","usbmount_0.0.22.tar.gz","http://snapshot.debian.org/archive/debian/20141023T043132Z/pool/main/u/usbmount","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] liblockfile [LGPL-2.0+, GPL-2.0+ (dotlockfile)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] lockfile-progs [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"webp","1.2.1","BSD-3-Clause","COPYING","libwebp-1.2.1.tar.gz","http://downloads.webmproject.org/releases/webp","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"weston","11.0.1","MIT","COPYING","weston-11.0.1.tar.gz","https://gitlab.freedesktop.org/wayland/weston/-/archive/11.0.1","cairo [LGPL-2.1 or MPL-1.1 (library)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] fontconfig [fontconfig license] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libevdev [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libinput [MIT] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxkbcommon [MIT/X11] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] mtdev [MIT] pcre [BSD-3-Clause] pixman [MIT] rockchip-mali [ARM] rockchip-rga [Apache-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT] wayland-protocols [MIT] webp [BSD-3-Clause]"
"whetstone","1.2","unknown","","whetstone.c","http://www.netlib.org/benchmark","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"wireless_tools","30.pre9","GPL-2.0","COPYING","wireless_tools.30.pre9.tar.gz","https://hewlettpackard.github.io/wireless-tools","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"wpa_supplicant","2.9","BSD-3-Clause","README","wpa_supplicant-2.9.tar.gz","http://w1.fi/releases","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libnl [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"xkeyboard-config","2.36","MIT","COPYING","xkeyboard-config-2.36.tar.xz","https://www.x.org/releases/individual/data/xkeyboard-config","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
