"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"i2c-tools","4.3","GPL-2.0+, GPL-2.0 (py-smbus), LGPL-2.1+ (libi2c)","COPYING COPYING.LGPL README","i2c-tools-4.3.tar.xz","https://www.kernel.org/pub/software/utils/i2c-tools","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"iputils","20210722","GPL-2.0+, BSD-3-Clause","LICENSE Documentation/LICENSE.BSD3 Documentation/LICENSE.GPL2","iputils-20210722.tar.gz","https://github.com/iputils/iputils/archive/20210722","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libtirpc","1.3.2","BSD-3-Clause","COPYING","libtirpc-1.3.2.tar.bz2","http://downloads.sourceforge.net/project/libtirpc/libtirpc/1.3.2","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"ntp","4.2.8p15","NTP","COPYRIGHT","ntp-4.2.8p15.tar.gz","https://www.eecis.udel.edu/~ntp/ntp_spool/ntp4/ntp-4.2","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libevent [BSD-3-Clause, OpenBSD] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libevent","2.1.12","BSD-3-Clause, OpenBSD","LICENSE","libevent-2.1.12-stable.tar.gz","https://github.com/libevent/libevent/releases/download/release-2.1.12-stable","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"procps-ng","3.3.15","GPL-2.0+, LGPL-2.0+ (libproc and libps)","COPYING COPYING.LIB","procps-ng-3.3.15.tar.xz","http://downloads.sourceforge.net/project/procps-ng/Production","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"cairo","1.16.0","LGPL-2.1 or MPL-1.1 (library)","COPYING COPYING-LGPL-2.1 COPYING-MPL-1.1","cairo-1.16.0.tar.xz","http://cairographics.org/releases","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] fontconfig [fontconfig license] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libdrm [MIT] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libpng [Libpng-2.0] libpthread-stubs [MIT] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] pixman [MIT] rockchip-mali [ARM] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] wayland [MIT]"
"fontconfig","2.13.1","fontconfig license","COPYING","fontconfig-2.13.1.tar.bz2","http://fontconfig.org/release","expat [MIT] freetype [Dual FTL/GPL-2.0+] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"freetype","2.10.4","Dual FTL/GPL-2.0+","docs/LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.10.4.tar.xz","http://download.savannah.gnu.org/releases/freetype","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libpng","1.6.37","Libpng-2.0","LICENSE","libpng-1.6.37.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.37","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
